browser_id,time_on_site,timestamp,isp,geonetworkcity,date,totals.uniquescreenviews,totals.timeonscreen,hits.isinteraction,hits.promotionactioninfopromoisclick,totals.screenviews,trafficsourcemedium,trafficsourcerefferalpath,device.browser,device.devicecategory,device.mobiledevicebranding,device.operatingsystem,device.ismobile,device.screenresolution,promo_category,totalspageviews,account_id
1000305,554,13:25,'hinet.net',Balucawi,2020-01-17,3,91,0,1,7,Refferal,google.com,chrome,tablet,lenovo,android,0,1280x800,accounts,8,100000000000
1000042,49,16:29,'att.net',Muararupit,2020-02-20,5,12,1,0,8,Organic,facebook.com,firefox,tablet,lenovo,android,0,1366x768,insurance,1,100000000001
1000277,512,9:51,'cox.net',Siso,2020-02-17,3,32,1,0,6,Refferal,youtube.com,edge,tablet,apple,ios,0,1280x800,loan,4,100000000002
1000131,372,6:09,'att.net',Changyi,2020-02-11,1,53,0,1,7,Organic,linkedin.com,brave,tablet,micromax,android,0,1920x1080,loan,3,100000000003
1000224,597,6:12,'att.net',San Quintin,2020-01-08,3,18,0,1,5,Paid,google.com,opera,mobile,micromax,android,1,1080 x 1920,loan,6,100000000004
1000215,507,23:24,'comcast.net',Volkhovskiy,2020-01-15,5,17,1,0,9,Paid,youtube.com,edge,mobile,apple,ios,1,1440 x 2960,deposits,3,100000000005
1000185,264,2:09,'verizon.net',Jifeng,2020-02-18,3,67,1,0,8,Display,linkedin.com,brave,tablet,apple,ios,0,1280x800,insurance,7,100000000006
1000237,184,23:46,'comcastbusiness.net',Sayang Lauq,2020-02-11,2,57,1,1,10,Social,linkedin.com,chromium,mobile,lenovo,android,1,1080 x 1920,credit_card,4,100000000007
1000355,243,6:21,'att.net',Yūki,2020-01-30,5,12,0,1,8,Direct,google.com,brave,mobile,apple,ios,1,1440 x 2560,accounts,10,100000000008
1000152,176,19:32,'cox.net',Jiangtou,2020-01-04,4,11,0,0,10,Paid,youtube.com,chromium,tablet,samsung,android,0,1366x768,insurance,10,100000000009
1000075,247,19:01,'cox.net',Surat Thani,2020-02-12,2,68,0,0,10,Direct,google.com,firefox,laptop,apple,mac-os,0,1200 x 1920,deposits,10,100000000010
1000330,194,7:46,'hinet.net',Émponas,2020-01-13,4,20,0,0,9,Affiliates,linkedin.com,edge,mobile,samsung,android,1,1440 x 2960,credit_card,6,100000000011
1000304,456,14:11,'hinet.net',Cruz,2020-01-01,3,36,1,1,7,Display,linkedin.com,firefox,mobile,lenovo,android,1,1080 x 1920,accounts,6,100000000012
1000244,262,9:26,'comcast.net',Xiabao,2020-02-07,5,99,0,0,7,Display,facebook.com,firefox,tablet,apple,ios,0,1366x768,credit_card,8,100000000013
1000177,436,21:19,'comcast.net',Kajatian,2020-02-23,1,12,1,1,7,Refferal,linkedin.com,chrome,mobile,samsung,android,1,1440 x 2560,credit_card,8,100000000014
1000190,572,17:18,'att.net',Göteborg,2020-02-17,1,96,1,0,10,Organic,linkedin.com,edge,tablet,lenovo,android,0,1280x800,deposits,3,100000000015
1000166,270,13:15,'cox.net',Kazan,2020-01-14,5,79,1,1,10,Direct,linkedin.com,brave,laptop,apple,mac-os,0,1200 x 1920,loan,10,100000000016
1000311,460,16:40,'comcastbusiness.net',Orleans,2020-02-20,2,46,0,1,9,Display,linkedin.com,brave,mobile,lenovo,android,1,1440 x 2560,loan,2,100000000017
1000305,597,14:54,'verizon.net',Montreuil,2020-03-01,2,45,0,1,9,Refferal,linkedin.com,UC browser,tablet,samsung,android,0,1280x800,credit_card,5,100000000018
1000212,188,12:23,'hinet.net',Nueve de Julio,2020-02-17,2,65,1,0,8,Paid,google.com,safari,laptop,samsung,ubuntu,0,1200 x 1920,accounts,3,100000000019
1000256,210,10:09,'hinet.net',Karonga,2020-02-28,4,38,1,0,8,Refferal,google.com,opera,tablet,lenovo,android,0,1366x768,accounts,7,100000000020
1000088,292,10:53,'verizon.net',Sousa,2020-01-16,3,45,0,0,10,Direct,youtube.com,brave,tablet,lenovo,android,0,1366x768,credit_card,6,100000000021
1000069,230,16:47,'comcastbusiness.net',Phra Phutthabat,2020-02-02,5,98,0,0,10,Direct,linkedin.com,UC browser,mobile,lenovo,android,1,1440 x 2960,deposits,7,100000000022
1000229,102,6:21,'verizon.net',Centre de Flacq,2020-02-12,1,47,0,0,6,Display,youtube.com,opera,laptop,samsung,windows,0,800 x 1280,credit_card,5,100000000023
1000034,417,14:15,'hinet.net',Gwangjeok,2020-02-21,5,13,0,0,10,Affiliates,facebook.com,chrome,mobile,micromax,android,1,1440 x 2560,deposits,6,100000000024
1000081,253,10:36,'comcastbusiness.net',Demerval Lobão,2020-01-11,3,69,0,0,9,Direct,google.com,opera,laptop,micromax,ubuntu,0,1536 x 2048,deposits,9,100000000025
1000247,265,9:37,'comcast.net',São Manuel,2020-01-23,5,60,1,1,5,Social,linkedin.com,safari,mobile,lenovo,android,1,1440 x 2960,insurance,3,100000000026
1000064,203,3:26,'comcastbusiness.net',Jönköping,2020-01-12,3,20,0,0,9,Direct,google.com,UC browser,mobile,apple,ios,1,1440 x 2560,accounts,1,100000000027
1000029,429,6:35,'comcast.net',Mirny,2020-01-01,3,27,0,0,5,Direct,google.com,firefox,tablet,lenovo,android,0,1920x1080,deposits,9,100000000028
1000366,17,0:11,'hinet.net',Hostomice,2020-01-28,5,42,0,0,9,Social,youtube.com,chromium,mobile,samsung,android,1,1080 x 1920,loan,2,100000000029
1000163,128,22:49,'comcastbusiness.net',Tekeli,2020-01-10,5,92,1,1,7,Direct,linkedin.com,edge,laptop,micromax,ubuntu,0,1200 x 1920,deposits,6,100000000030
1000050,101,11:33,'verizon.net',San Diego,2020-01-08,1,91,1,1,6,Paid,youtube.com,edge,laptop,micromax,ubuntu,0,1536 x 2048,insurance,3,100000000031
1000312,104,13:50,'att.net',Vakhsh,2020-02-26,2,77,0,1,7,Paid,google.com,UC browser,laptop,apple,mac-os,0,1200 x 1920,loan,2,100000000032
1000015,294,22:41,'comcastbusiness.net',Aleksandrów,2020-02-08,5,24,1,1,10,Organic,google.com,chrome,mobile,micromax,android,1,1440 x 2960,credit_card,7,100000000033
1000053,494,22:19,'comcastbusiness.net',El’brus,2020-01-15,5,77,0,0,10,Social,google.com,chromium,laptop,lenovo,ubuntu,0,1200 x 1920,credit_card,7,100000000034
1000317,302,8:34,'comcastbusiness.net',Tak,2020-01-25,4,28,0,1,10,Paid,facebook.com,opera,tablet,micromax,android,0,1920x1080,accounts,4,100000000035
1000385,315,11:01,'cox.net',Nueve de Julio,2020-02-10,3,34,0,1,5,Refferal,linkedin.com,opera,tablet,lenovo,android,0,1366x768,deposits,9,100000000036
1000113,79,3:26,'att.net',Río Viejo,2020-01-13,3,93,0,1,6,Direct,linkedin.com,safari,mobile,samsung,android,1,1440 x 2960,insurance,2,100000000037
1000247,541,9:31,'verizon.net',Quinta,2020-01-18,1,20,1,1,5,Display,youtube.com,chromium,laptop,apple,mac-os,0,1200 x 1920,loan,10,100000000038
1000131,279,0:43,'comcast.net',Kokofata,2020-01-16,2,19,1,0,9,Display,linkedin.com,chromium,mobile,micromax,android,1,1440 x 2560,deposits,3,100000000039
1000073,23,2:35,'cox.net',Enköping,2020-02-27,5,88,1,1,10,Direct,facebook.com,brave,mobile,samsung,android,1,1080 x 1920,loan,5,100000000040
1000356,367,13:27,'comcast.net',Bonak,2020-02-14,1,55,0,0,5,Direct,linkedin.com,brave,mobile,apple,ios,1,1440 x 2960,deposits,3,100000000041
1000136,243,7:57,'att.net',Primorsko-Akhtarsk,2020-01-19,2,17,1,0,5,Display,youtube.com,safari,mobile,micromax,android,1,1080 x 1920,deposits,2,100000000042
1000332,279,21:26,'comcastbusiness.net',Okhotsk,2020-01-28,5,50,0,0,9,Affiliates,google.com,UC browser,laptop,lenovo,ubuntu,0,1200 x 1920,accounts,8,100000000043
1000341,557,18:43,'comcast.net',Boise,2020-02-15,4,51,1,0,5,Paid,facebook.com,safari,mobile,samsung,android,1,1440 x 2960,insurance,7,100000000044
1000285,29,4:52,'verizon.net',Maykopskoye,2020-01-24,5,14,1,1,5,Affiliates,google.com,chromium,tablet,apple,ios,0,1920x1080,insurance,9,100000000045
1000189,592,6:40,'att.net',Doubravice nad Svitavou,2020-02-04,5,20,1,1,10,Paid,google.com,safari,laptop,samsung,ubuntu,0,1536 x 2048,accounts,4,100000000046
1000078,273,19:00,'comcast.net',Guifões,2020-02-01,1,83,1,1,9,Display,linkedin.com,opera,laptop,apple,mac-os,0,1536 x 2048,deposits,3,100000000047
1000299,379,9:29,'cox.net',Zhoushan,2020-02-23,2,15,0,0,8,Affiliates,google.com,chromium,mobile,apple,ios,1,1440 x 2960,deposits,2,100000000048
1000252,216,11:23,'att.net',Qā’en,2020-01-28,5,56,1,0,7,Affiliates,youtube.com,chromium,tablet,lenovo,android,0,1366x768,loan,2,100000000049
1000370,26,16:16,'comcast.net',Paris 16,2020-02-20,5,65,1,1,10,Social,linkedin.com,edge,tablet,apple,ios,0,1920x1080,deposits,8,100000000050
1000302,93,9:42,'comcastbusiness.net',Buenavista,2020-01-15,4,35,0,1,7,Organic,google.com,chromium,laptop,micromax,windows,0,800 x 1280,loan,7,100000000051
1000145,47,9:37,'comcast.net',Serrinha,2020-03-02,3,13,0,1,7,Refferal,google.com,chrome,tablet,lenovo,android,0,1366x768,insurance,7,100000000052
1000157,579,12:50,'comcastbusiness.net',Landivisiau,2020-01-08,1,69,0,0,9,Refferal,youtube.com,firefox,laptop,micromax,ubuntu,0,1536 x 2048,credit_card,10,100000000053
1000048,308,11:52,'hinet.net',Deventer,2020-02-01,1,20,0,1,10,Direct,linkedin.com,firefox,tablet,lenovo,android,0,1920x1080,insurance,10,100000000054
